target_name	antigen_url	sku	species	expression_host	tags	gene_symbol	protein_name
IL-6	https://www.sinobiological.com/search?keywords=10395-HNAH-B	10395-HNAH-B	Human		No tag		IL-6 (Biotinylated)
IL-6R	https://www.sinobiological.com/search?keywords=10398-H35H-B	10398-H35H-B	Human		C-AVI-Fc		IL-6R (Biotinylated, HPLC-verified)
IL-7R alpha/CD127	https://www.sinobiological.com/search?keywords=10975-H49H-B	10975-H49H-B	Human		C-His-AVI		IL-7R alpha/CD127 (Biotinylated, HPLC-verified)
IL17A & IL17F Heterodimer	https://www.sinobiological.com/search?keywords=CT141-H8156H-B	CT141-H8156H-B	Human		N-Strep II & N-His-AVI		IL17A & IL17F Heterodimer (Biotinylated, HPLC-verified)
IL1R1	https://www.sinobiological.com/search?keywords=10126-H02H-B	10126-H02H-B	Human		C-hFc		IL1R1 (Biotinylated, HPLC-verified)
IL1RAP/IL-1RAcP	https://www.sinobiological.com/search?keywords=10121-H27H-B	10121-H27H-B	Human		C-AVI & His		IL1RAP/IL-1RAcP (Biotinylated, HPLC-verified)
ILT11/LILRA5/LIR-9	https://www.sinobiological.com/search?keywords=16059-H27H-B	16059-H27H-B	Human		C-AVI & His		ILT11/LILRA5/LIR-9 (Biotinylated)
ILT2/LILRB1	https://www.sinobiological.com/search?keywords=16014-H49H-B	16014-H49H-B	Human		C-His-AVI		ILT2/LILRB1 (Biotinylated, HPLC-verified)
ILT3/LILRB4	https://www.sinobiological.com/search?keywords=16742-H49H-B	16742-H49H-B	Human		C-His-AVI		ILT3/LILRB4 (Biotinylated, HPLC-verified)
ILT4/LILRB2	https://www.sinobiological.com/search?keywords=14132-H49H-B	14132-H49H-B	Human		C-His-AVI		ILT4/LILRB2 (Biotinylated, HPLC-verified)
ILT5/LILRB3	https://www.sinobiological.com/search?keywords=11978-H08H-B	11978-H08H-B	Human		C-His		ILT5/LILRB3 (HPLC-verified, Amine-Labeled Biotinylated)
IgG1-Fc	https://www.sinobiological.com/search?keywords=10702-HNAH-B	10702-HNAH-B	Human		No tag		IgG1-Fc (103 Cys/Ser,Amine-Labeled Biotinylated, HPLC-verified)
IgG2a	https://www.sinobiological.com/search?keywords=51094-MNAH-B	51094-MNAH-B	Mouse		No tag		IgG2a (Amine-Labeled Biotinylated)
Insulin Receptor	https://www.sinobiological.com/search?keywords=11086-H49H-B	11086-H49H-B	Human		C-His-AVI		Insulin Receptor (isoform short,Biotinylated, HPLC-verified)
