target_name	antigen_url	sku	species	expression_host	tags	gene_symbol	protein_name
14-3-3 epsilon	https://www.sinobiological.com/search?keywords=50691-M09E-B	50691-M09E-B	Mouse		N-GST		14-3-3 epsilon (Biotinylated)
2B4/CD244	https://www.sinobiological.com/search?keywords=10042-H41H-B	10042-H41H-B	Human		C-hFc & AVI		2B4/CD244 (Biotinylated)
4-1BB Ligand/TNFSF9	https://www.sinobiological.com/search?keywords=15693-H42H-B	15693-H42H-B	Human		N-AVI & hFc		4-1BB Ligand/TNFSF9 (Biotinylated)
4-1BB/CD137	https://www.sinobiological.com/search?keywords=10041-H08H-B	10041-H08H-B	Human		C-His		4-1BB/CD137 (Amine-Labeled Biotinylated, HPLC-verified)
5'-nucleotidase/CD73/NT5E	https://www.sinobiological.com/search?keywords=10904-H49H-B	10904-H49H-B	Human		C-His-AVI		5'-nucleotidase/CD73/NT5E (Biotinylated, HPLC-verified)
A27L Protein	https://www.sinobiological.com/search?keywords=41038-V44E-B	41038-V44E-B	"MPXV
strain Zaire-96-I-16"		N-AVI-His		A27L Protein (Avi-tag Biotinylated, HPLC-verified)
ACE2	https://www.sinobiological.com/search?keywords=10108-H27B-B	10108-H27B-B	Human		C-AVI & His		ACE2 (Biotinylated)
ACVR2B	https://www.sinobiological.com/search?keywords=10229-H08H-B	10229-H08H-B	Human		C-His		ACVR2B (Biotinylated, HPLC-verified)
AMIGO2	https://www.sinobiological.com/search?keywords=13735-H08H-B	13735-H08H-B	Human		C-His		AMIGO2 (Amine-Labeled Biotinylated)
APRIL/TNFSF13	https://www.sinobiological.com/search?keywords=10610-H44H1-B	10610-H44H1-B	Human		N-AVI-His		APRIL/TNFSF13 (Avi-tag Biotinylated, MALS-verified)
ARF1	https://www.sinobiological.com/search?keywords=14968-H49E-B	14968-H49E-B	Human		C-His-AVI		ARF1 (Biotinylated, HPLC-verified)
ASGR1	https://www.sinobiological.com/search?keywords=50083-M07H-B	50083-M07H-B	Mouse		N-His		ASGR1 (Amine-Labeled Biotinylated)
ATP6V1F	https://www.sinobiological.com/search?keywords=15605-H09E-B	15605-H09E-B	Human		N-GST		ATP6V1F (Biotinylated)
Albumin	https://www.sinobiological.com/search?keywords=10968-HNAY2-B	10968-HNAY2-B	Human		No tag		Albumin (Amine-Labeled Biotinylated)
Alkaline Phosphatase/ALPL	https://www.sinobiological.com/search?keywords=10440-H17H-B	10440-H17H-B	Human		C-AVI		Alkaline Phosphatase/ALPL (Avi-tag Biotinylated, HPLC-verified)
Angiopoietin-2/ANGPT2	https://www.sinobiological.com/search?keywords=10691-H08S-B	10691-H08S-B	Human		C-His		Angiopoietin-2/ANGPT2 (Amine-Labeled Biotinylated)
Annexin V/ANXA5	https://www.sinobiological.com/search?keywords=10448-HNAE-B	10448-HNAE-B	Human		No tag		Annexin V/ANXA5 (Amine-Labeled Biotinylated)
Apolipoprotein E/APOE	https://www.sinobiological.com/search?keywords=10817-H30E-B	10817-H30E-B	Human		N-Trx		Apolipoprotein E/APOE (isoform E3,Amine-Labeled Biotinylated)
B6R Protein	https://www.sinobiological.com/search?keywords=40902-V08H-B	40902-V08H-B	"MPXV
West African strains"		C-His		B6R Protein (Amine-Labeled Biotinylated)
B7-1/CD80	https://www.sinobiological.com/search?keywords=10698-H49H-B	10698-H49H-B	Human		C-His-AVI		B7-1/CD80 (HPLC-verified, Biotinylated)
B7-2/CD86	https://www.sinobiological.com/search?keywords=10699-H49H-B	10699-H49H-B	Human		C-His-AVI		B7-2/CD86 (Biotinylated)
B7-H2/ICOSLG	https://www.sinobiological.com/search?keywords=11559-H08H-B	11559-H08H-B	Human		C-His		B7-H2/ICOSLG (Amine-Labeled Biotinylated)
B7-H3	https://www.sinobiological.com/search?keywords=50973-M08H-B	50973-M08H-B	Mouse		C-His		B7-H3 (Amine-Labeled Biotinylated)
B7-H4	https://www.sinobiological.com/search?keywords=10738-H27H-B	10738-H27H-B	Human		C-AVI & His		B7-H4 (Biotinylated, HPLC-verified)
B7-H6/NCR3LG1	https://www.sinobiological.com/search?keywords=16140-H08H-B	16140-H08H-B	Human		C-His		B7-H6/NCR3LG1 (Amine-Labeled Biotinylated)
B7-H7/HHLA2	https://www.sinobiological.com/search?keywords=16139-H08H-B	16139-H08H-B	Human		C-His		B7-H7/HHLA2 (Amine-Labeled Biotinylated)
BAFF/BLyS/TNFSF13B	https://www.sinobiological.com/search?keywords=10056-H42H-B	10056-H42H-B	Human		N-AVI & hFc		BAFF/BLyS/TNFSF13B (Biotinylated, Trimer, MALS-verified)
BAFFR/TNFRSF13C	https://www.sinobiological.com/search?keywords=16079-H41H-B	16079-H41H-B	Human		C-hFc & AVI		BAFFR/TNFRSF13C (Biotinylated, HPLC-verified)
BCMA	https://www.sinobiological.com/search?keywords=50076-M42H-B	50076-M42H-B	Mouse		C-hFc & AVI		BCMA (Biotinylated)
BTLA	https://www.sinobiological.com/search?keywords=11895-H41H-B	11895-H41H-B	Human		C-hFc & AVI		BTLA (Biotinylated, HPLC-verified)
BTN1A1/Butyrophilin	https://www.sinobiological.com/search?keywords=30072-H27H-B	30072-H27H-B	Human		C-AVI & His		BTN1A1/Butyrophilin (Biotinylated, HPLC-verified)
C-Reactive Protein	https://www.sinobiological.com/search?keywords=11250-HNAH-B	11250-HNAH-B	Human		No tag		C-Reactive Protein (Amine-Labeled Biotinylated, HPLC-verified)
CADM1	https://www.sinobiological.com/search?keywords=11168-H08H-B	11168-H08H-B	Human		C-His		CADM1 (Amine-Labeled Biotinylated)
CCR6	"https://www.sinobiological.com/search?keywords=11438-H113H-
DD-B"	"11438-H113H-
DD-B"	Human		N-Flag-Strep & C-AVI		CCR6 (Detergent,Avi-tag Biotinylated)
CD10/Neprilysin	https://www.sinobiological.com/search?keywords=10805-HNCH-B	10805-HNCH-B	Human		No tag		CD10/Neprilysin (Biotinylated)
CD146/MCAM	https://www.sinobiological.com/search?keywords=10115-H08H-B	10115-H08H-B	Human		C-His		CD146/MCAM (Amine-Labeled Biotinylated)
CD147/Basigin/EMMPRIN	https://www.sinobiological.com/search?keywords=10186-H49H-B	10186-H49H-B	Human		C-His-AVI		CD147/Basigin/EMMPRIN (Avi-tag Biotinylated, HPLC-verified)
CD155/PVR	https://www.sinobiological.com/search?keywords=50259-M41H-B	50259-M41H-B	Mouse		C-hFc & AVI		CD155/PVR (Biotinylated, HPLC-verified)
CD16-2/FCGR4/Fc gamma RIV	https://www.sinobiological.com/search?keywords=50036-M27H-B	50036-M27H-B	Mouse		C-AVI & His		CD16-2/FCGR4/Fc gamma RIV (Biotinylated)
CD16/FCGR3/Fc gamma RIII	https://www.sinobiological.com/search?keywords=50326-M27H-B	50326-M27H-B	Mouse		C-AVI & His		CD16/FCGR3/Fc gamma RIII (Biotinylated, HPLC-verified)
CD16a/FCGR3A/Fc gamma RIIIA	https://www.sinobiological.com/search?keywords=10389-H27H1-B	10389-H27H1-B	Human		C-AVI & His		CD16a/FCGR3A/Fc gamma RIIIA (V176,Biotinylated, HPLC-verified)
CD16b/FCGR3B/Fc gamma RIIIB	https://www.sinobiological.com/search?keywords=11046-H27H-B	11046-H27H-B	Human		C-AVI & His		CD16b/FCGR3B/Fc gamma RIIIB (NA2 allotype,Biotinylated, HPLC-verified)
CD19	https://www.sinobiological.com/search?keywords=11880-H08H-B	11880-H08H-B	Human		C-His		CD19 (Amine-Labeled Biotinylated)
CD20	https://www.sinobiological.com/search?keywords=11007-H34E-B	11007-H34E-B	Human		N-TrxA		CD20 (Amine-Labeled Biotinylated)
CD200	https://www.sinobiological.com/search?keywords=10886-H49H-B	10886-H49H-B	Human		C-His-AVI		CD200 (Biotinylated, HPLC-verified)
CD24	https://www.sinobiological.com/search?keywords=11030-H41H-B	11030-H41H-B	Human		C-hFc & AVI		CD24 (Biotinylated, HPLC-verified)
CD25/IL-2R alpha	https://www.sinobiological.com/search?keywords=10165-H27H-B	10165-H27H-B	Human		C-AVI & His		CD25/IL-2R alpha (Biotinylated, HPLC-verified)
CD27/TNFRSF7	https://www.sinobiological.com/search?keywords=10039-H41H-B	10039-H41H-B	Human		C-hFc & AVI		CD27/TNFRSF7 (Biotinylated, HPLC-verified)
CD277/BTN3A1	https://www.sinobiological.com/search?keywords=15973-H08H-B	15973-H08H-B	Human		C-His		CD277/BTN3A1 (Amine-Labeled Biotinylated)
CD28	https://www.sinobiological.com/search?keywords=11524-H41H-B	11524-H41H-B	Human		C-hFc & AVI		CD28 (Dimer,Biotinylated, HPLC-verified)
CD28H/IGPR-1/TMIGD2	https://www.sinobiological.com/search?keywords=13820-H27H-B	13820-H27H-B	Human		C-AVI & His		CD28H/IGPR-1/TMIGD2 (Biotinylated, HPLC-verified)
CD3 delta/CD3D	https://www.sinobiological.com/search?keywords=10981-H23H-B	10981-H23H-B	Human		C-hFc & Flag		CD3 delta/CD3D (Amine-Labeled Biotinylated)
CD3 epsilon/CD3e	https://www.sinobiological.com/search?keywords=10977-H08S-B	10977-H08S-B	Human		C-His		CD3 epsilon/CD3e (Amine-Labeled Biotinylated)
CD30/TNFRSF8	https://www.sinobiological.com/search?keywords=10777-H41H-B	10777-H41H-B	Human		C-hFc & AVI		CD30/TNFRSF8 (Biotinylated)
CD32A/FCGR2A	https://www.sinobiological.com/search?keywords=10374-H27H1-B	10374-H27H1-B	Human		C-AVI & His		CD32A/FCGR2A (H167,Biotinylated, HPLC-verified)
CD32B/Fcgr2b	https://www.sinobiological.com/search?keywords=10259-H27H-B	10259-H27H-B	Human		C-AVI & His		CD32B/Fcgr2b (Biotinylated, HPLC-verified)
CD34	https://www.sinobiological.com/search?keywords=10103-H02H-B	10103-H02H-B	Human		C-hFc		CD34 (Amine-Labeled Biotinylated)
CD36	https://www.sinobiological.com/search?keywords=10752-H49H-B	10752-H49H-B	Human		C-His-AVI		CD36 (Biotinylated, HPLC-verified)
CD38	https://www.sinobiological.com/search?keywords=10818-H41H-B	10818-H41H-B	Human		C-hFc & AVI		CD38 (Biotinylated, HPLC-verified)
CD3D & CD3E Heterodimer	https://www.sinobiological.com/search?keywords=CT038-H2508H-B	CT038-H2508H-B	Human		C-Flag & His		CD3D & CD3E Heterodimer (Amine-Labeled Biotinylated, HPLC-verified)
CD3E & CD3G Heterodimer	https://www.sinobiological.com/search?keywords=CT123-H49H-B	CT123-H49H-B	Human		C-His-AVI		CD3E & CD3G Heterodimer (Avi-tag Biotinylated, HPLC-verified)
CD4	https://www.sinobiological.com/search?keywords=10400-H08H-B	10400-H08H-B	Human		C-His		CD4 (Amine-Labeled Biotinylated, HPLC-verified)
CD40 Ligand/TNFSF5	https://www.sinobiological.com/search?keywords=10239-H42H-B	10239-H42H-B	Human		N-hFc & AVI		CD40 Ligand/TNFSF5 (Biotinylated)
CD40/TNFRSF5	https://www.sinobiological.com/search?keywords=50324-M49H-B	50324-M49H-B	Mouse		C-His-AVI		CD40/TNFRSF5 (Biotinylated)
CD42b/GP1BA	https://www.sinobiological.com/search?keywords=11765-H08H-B	11765-H08H-B	Human		C-His		CD42b/GP1BA (Amine-Labeled Biotinylated)
CD45	https://www.sinobiological.com/search?keywords=14197-H49H-B	14197-H49H-B	Human		C-His-AVI		CD45 (Biotinylated, HPLC-verified)
CD47	https://www.sinobiological.com/search?keywords=12283-HCCH-B	12283-HCCH-B	Human		No tag		CD47 (Amine-Labeled Biotinylated, HPLC-verified)
CD48	https://www.sinobiological.com/search?keywords=10797-H41H-B	10797-H41H-B	Human		C-hFc & AVI		CD48 (Biotinylated)
CD5	https://www.sinobiological.com/search?keywords=11027-H27H-B	11027-H27H-B	Human		C-AVI & His		CD5 (Biotinylated, HPLC-verified)
CD52	https://www.sinobiological.com/search?keywords=15105-H41H-B	15105-H41H-B	Human		C-hFc & AVI		CD52 (Biotinylated)
CD6	https://www.sinobiological.com/search?keywords=17051-H49H-B	17051-H49H-B	Human		C-His-AVI		CD6 (Biotinylated, HPLC-verified)
CD63	https://www.sinobiological.com/search?keywords=11271-H49H-B	11271-H49H-B	Human		C-His-AVI		CD63 (Biotinylated, HPLC-verified)
CD64/FCGR1	https://www.sinobiological.com/search?keywords=10256-H27H-B	10256-H27H-B	Human		C-AVI & His		CD64/FCGR1 (Biotinylated, HPLC-verified)
CD68	https://www.sinobiological.com/search?keywords=80307-RNAH-B	80307-RNAH-B	Rat		No tag		CD68 (Biotinylated)
CD7	https://www.sinobiological.com/search?keywords=50393-M49H-B	50393-M49H-B	Mouse		C-His-AVI		CD7 (Biotinylated)
CD70/CD27 Ligand	https://www.sinobiological.com/search?keywords=10780-H42H-B	10780-H42H-B	Human		N-hFc & AVI		CD70/CD27 Ligand (Biotinylated)
CD8 alpha	https://www.sinobiological.com/search?keywords=50389-M08H-B	50389-M08H-B	Mouse		C-His		CD8 alpha (Amine-Labeled Biotinylated)
CD8 beta	https://www.sinobiological.com/search?keywords=11031-HCCH-B	11031-HCCH-B	Human		No tag		CD8 beta (Amine-Labeled Biotinylated)
CD89/FCAR	https://www.sinobiological.com/search?keywords=91030-K49H1-B	91030-K49H1-B	Rhesus		C-His-AVI		CD89/FCAR (Biotinylated, HPLC-verified)
CD8A & CD8B Heterodimer	https://www.sinobiological.com/search?keywords=CT077-C2508H-B	CT077-C2508H-B	Cynomolgus		C-Flag & His		CD8A & CD8B Heterodimer (Biotinylated)
CD96	https://www.sinobiological.com/search?keywords=11202-H41H-B	11202-H41H-B	Human		C-hFc & AVI		CD96 (Biotinylated)
CD98	https://www.sinobiological.com/search?keywords=12206-H07H-B	12206-H07H-B	Human		N-His		CD98 (Amine-Labeled Biotinylated)
CDCP1	https://www.sinobiological.com/search?keywords=29794-H49H-B	29794-H49H-B	Human		C-His-AVI		CDCP1 (Avi-tag Biotinylated, HPLC-verified)
CEACAM-5/CD66e	https://www.sinobiological.com/search?keywords=11077-H08H-B	11077-H08H-B	Human		C-His		CEACAM-5/CD66e (Amine-Labeled Biotinylated, HPLC-verified)
CEACAM-6/CD66c	https://www.sinobiological.com/search?keywords=10823-H49H-B	10823-H49H-B	Human		C-His-AVI		CEACAM-6/CD66c (Biotinylated, HPLC-verified)
CEACAM-8/CD66b	https://www.sinobiological.com/search?keywords=11729-H27H-B	11729-H27H-B	Human		C-AVI & His		CEACAM-8/CD66b (Biotinylated)
CHIKV E2 glycoprotein	https://www.sinobiological.com/search?keywords=41094-V49H-B	41094-V49H-B	"CHIKV
UVE/CHIKV/2024/RE/CNR_79903"		C-His-AVI		CHIKV E2 glycoprotein (Avi-tag Biotinylated, HPLC-verified)
CLL-1/CLEC12A	https://www.sinobiological.com/search?keywords=11896-H42H-B	11896-H42H-B	Human		N-AVI & hFc		CLL-1/CLEC12A (Biotinylated, HPLC-verified)
CNTN6	https://www.sinobiological.com/search?keywords=29659-H49H-B	29659-H49H-B	Human		C-His-AVI		CNTN6 (Avi-tag Biotinylated, HPLC-verified)
CRTAM	https://www.sinobiological.com/search?keywords=11975-H08H-B	11975-H08H-B	Human		C-His		CRTAM (Biotinylated)
CTHRC1	https://www.sinobiological.com/search?keywords=11647-H49H-B	11647-H49H-B	Human		C-His-AVI		CTHRC1 (Biotinylated, HPLC-verified)
CTLA-4	https://www.sinobiological.com/search?keywords=11159-H08H-B	11159-H08H-B	Human		C-His		CTLA-4 (Amine-Labeled Biotinylated)
CXCR5	"https://www.sinobiological.com/search?keywords=18301-H113H-
DD-B"	"18301-H113H-
DD-B"	Human		N-Flag-Strep & C-AVI		CXCR5 (Detergent,Avi-tag Biotinylated)
CXCR6	"https://www.sinobiological.com/search?keywords=12504-H113H-
DD-B"	"12504-H113H-
DD-B"	Human		N-Flag-Strep & C-AVI		CXCR6 (Detergent,Avi-tag Biotinylated)
Cadherin-17	https://www.sinobiological.com/search?keywords=11360-H49H-B	11360-H49H-B	Human		C-His-AVI		Cadherin-17 (Biotinylated)
Carbonic Anhydrase IV/CA4	https://www.sinobiological.com/search?keywords=10472-H08S-B	10472-H08S-B	Human		C-His		Carbonic Anhydrase IV/CA4 (Amine-Labeled Biotinylated)
Carbonic Anhydrase IX/CA9	https://www.sinobiological.com/search?keywords=50660-M08H-B	50660-M08H-B	Mouse		C-His		Carbonic Anhydrase IX/CA9 (Amine-Labeled Biotinylated)
Carbonic Anhydrase XIV/CA14	https://www.sinobiological.com/search?keywords=10458-H08H-B	10458-H08H-B	Human		C-His		Carbonic Anhydrase XIV/CA14 (Amine-Labeled Biotinylated)
Chitinase 3-like 1/CHI3L1	https://www.sinobiological.com/search?keywords=11227-H49H-B	11227-H49H-B	Human		C-His-AVI		Chitinase 3-like 1/CHI3L1 (Avi-tag Biotinylated, HPLC-verified)
Claudin-4/CLDN4	"https://www.sinobiological.com/search?keywords=16358-H73H-
NA-B"	"16358-H73H-
NA-B"	Human		N-Avi & C-His		Claudin-4/CLDN4 (Nanodisc, Full-length,Avi-tag Biotinylated)
Claudin-6	"https://www.sinobiological.com/search?keywords=16658-H49H-
NA-B"	"16658-H49H-
NA-B"	Human		C-His-AVI		Claudin-6 (Biotinylated, Nanodisc)
Claudin-9	"https://www.sinobiological.com/search?keywords=21185-H49H-
NA-B"	"21185-H49H-
NA-B"	Human		C-His-AVI		Claudin-9 (Biotinylated, Nanodisc)
Complement C5	https://www.sinobiological.com/search?keywords=51136-MNAE-B	51136-MNAE-B	Mouse		No tag		Complement C5 (C5a,Amine-Labeled Biotinylated)
Contactin-1	https://www.sinobiological.com/search?keywords=91039-C49H-B	91039-C49H-B	Cynomolgus		C-His-AVI		Contactin-1 (Avi-tag Biotinylated, HPLC-verified)
Coronavirus Nucleocapsid	https://www.sinobiological.com/search?keywords=40588-V27B-B	40588-V27B-B	"SARS-CoV-2
SARS-CoV-2"		C-AVI & His		Coronavirus Nucleocapsid (Biotinylated)
Coronavirus spike	https://www.sinobiological.com/search?keywords=40592-V08B-B	40592-V08B-B	"SARS-CoV-2
SARS-CoV-2"		C-His		Coronavirus spike (RBD,Amine-Labeled Biotinylated)
Cortisol Binding Globulin/CBG	https://www.sinobiological.com/search?keywords=10998-H27H-B	10998-H27H-B	Human		C-AVI & His		Cortisol Binding Globulin/CBG (Biotinylated, HPLC-verified)
Cyclophilin A	https://www.sinobiological.com/search?keywords=10436-H44E-B	10436-H44E-B	Human		N-AVI-His		Cyclophilin A (Avi-tag Biotinylated, HPLC-verified)
DDR1	https://www.sinobiological.com/search?keywords=10730-H49H-B	10730-H49H-B	Human		C-His-AVI		DDR1 (Avi-tag Biotinylated, HPLC-verified)
DDR2	https://www.sinobiological.com/search?keywords=10209-H49H-B	10209-H49H-B	Human		C-His-AVI		DDR2 (Avi-tag Biotinylated, HPLC-verified)
DICR/CLEC4A	https://www.sinobiological.com/search?keywords=11476-H56H-B	11476-H56H-B	Human		N-His & AVI		DICR/CLEC4A (Avi-tag Biotinylated, HPLC-verified)
DLL3	https://www.sinobiological.com/search?keywords=91003-C49H-B	91003-C49H-B	Cynomolgus		C-His-AVI		DLL3 (Avi-tag Biotinylated, HPLC-verified)
DLL4	https://www.sinobiological.com/search?keywords=10171-H49H-B	10171-H49H-B	Human		C-His-AVI		DLL4 (Biotinylated, HPLC-verified)
DNAM-1/CD226	https://www.sinobiological.com/search?keywords=10565-H08H-B	10565-H08H-B	Human		C-His		DNAM-1/CD226 (Amine-Labeled Biotinylated)
DPEP1	https://www.sinobiological.com/search?keywords=13543-H49H-B	13543-H49H-B	Human		C-His-AVI		DPEP1 (Avi-tag Biotinylated, HPLC-verified)
DR3/TNFRSF25	https://www.sinobiological.com/search?keywords=12095-H02H-B	12095-H02H-B	Human		C-hFc		DR3/TNFRSF25 (Amine-Labeled Biotinylated)
DR5/TRAIL R2	https://www.sinobiological.com/search?keywords=10465-H49H-B	10465-H49H-B	Human		C-His-AVI		DR5/TRAIL R2 (Biotinylated, HPLC-verified)
DR6/TNFRSF21	https://www.sinobiological.com/search?keywords=10175-H49H-B	10175-H49H-B	Human		C-His-AVI		DR6/TNFRSF21 (Avi-tag Biotinylated, HPLC-verified)
DcR3/TNFRSF6B	https://www.sinobiological.com/search?keywords=10224-H02B-B	10224-H02B-B	Human		C-hFc		DcR3/TNFRSF6B (Biotinylated)
Dectin-1/CLEC7A	https://www.sinobiological.com/search?keywords=10215-H42H-B	10215-H42H-B	Human		N-hFc & AVI		Dectin-1/CLEC7A (Avi-tag Biotinylated, HPLC-verified)
E-Cadherin	https://www.sinobiological.com/search?keywords=10204-H02H-B	10204-H02H-B	Human		C-hFc		E-Cadherin (Amine-Labeled Biotinylated)
EBV Glycoprotein gp350	https://www.sinobiological.com/search?keywords=40373-V49H-B	40373-V49H-B	"EBV
B95-8"		C-His-AVI		EBV Glycoprotein gp350 (Biotinylated, HPLC-verified)
EGFR	https://www.sinobiological.com/search?keywords=10001-H27H-B	10001-H27H-B	Human		C-AVI & His		EGFR (Biotinylated, HPLC-verified)
ENSA	https://www.sinobiological.com/search?keywords=14321-H07E-B	14321-H07E-B	Human		N-His		ENSA (Amine-Labeled Biotinylated)
EPCR	https://www.sinobiological.com/search?keywords=13320-H02H-B	13320-H02H-B	Human		C-hFc		EPCR (Biotinylated, HPLC-verified)
Ebola virus Glycoprotein	https://www.sinobiological.com/search?keywords=40442-V49H2-B	40442-V49H2-B	"EBOV
subtype Zaire, strain H.sapiens-wt/GIN/2014/Kissidougou-C15"		C-His-AVI		Ebola virus Glycoprotein (Avi-tag Biotinylated)
Ebola virus Nucleoprotein	https://www.sinobiological.com/search?keywords=40444-V44E1-B	40444-V44E1-B	"EBOV
Subtype Sudan, strain Gulu"		N-AVI-His		Ebola virus Nucleoprotein (Avi-tag Biotinylated, HPLC-verified)
Ebola virus VP24	https://www.sinobiological.com/search?keywords=40454-V44E-B	40454-V44E-B	"EBOV
subtype Zaire, strain H.sapiens-wt/GIN/2014/Kissidougou-C15"		N-AVI-His		Ebola virus VP24 (Avi-tag Biotinylated, HPLC-verified)
Ebola virus VP40	https://www.sinobiological.com/search?keywords=40447-V44E-B	40447-V44E-B	"EBOV
Subtype Sudan, strain Gulu"		N-AVI-His		Ebola virus VP40 (Avi-tag Biotinylated)
